,id,Tweet,tag,Classification,Subjectivity,Polarity,Analysis
0,1.54e+18,"['Cloudflare', 'affirme', 'avoir', 'réussi', 'à', 'atténuer', 'une', 'attaque', 'DDoS', 'de', '26', 'millions', 'de', 'requêtes', 'par', 'seconde', 'lassaut', 'aurait', 'été', 'lan…']",DDoS,1,0.0,0.0,Neutral
1,1.54e+18,"['using', 'Ukrainian', 'Telegram', 'bot', 'launch', 'DDOS', 'attacks', 'Russia']",DDoS,2,0.0,0.0,Neutral
2,1.54e+18,"['Cloudflare', 'affirme', 'avoir', 'réussi', 'à', 'atténuer', 'une', 'attaque', 'DDoS', 'de', 'httpstcoQtjuNAmNp2']",DDoS,2,0.0,0.0,Neutral
3,1.54e+18,"['Cloudflare', 'affirme', 'avoir', 'réussi', 'à', 'atténuer', 'une', 'attaque', 'DDoS', 'de', '26', 'millions', 'de', 'requêtes', 'par', 'seconde', 'lassaut', 'aurait', 'été', 'lancé', 'par', 'un', 'botnet', 'denviron', '5', '000', 'appareils', 'httpstcoRGCbfiMi2c']",DDoS,2,0.0,0.0,Neutral
4,1.54e+18,"['Cloudflare', 'affirme', 'avoir', 'réussi', 'à', 'atténuer', 'une', 'attaque', 'DDoS', 'de', '26', 'millions', 'de', 'requêtes', 'par', 'seconde', 'lassaut', 'aurait', 'été', 'lancé', 'par', 'un', 'botnet', 'denviron', '5', '000', 'appareils', 'httpstcoMlkzG7TKjw']",DDoS,2,0.0,0.0,Neutral
5,1.54e+18,"['Since', 'yesterday', 'started', 'massive', 'DDoS', 'attacks', 'Internet', 'resource', 'accreditation', 'system', 'St…']",DDoS,2,1.0,0.0,Neutral
6,1.54e+18,"['Today', 'day', 'I’ve', 'looking', 'much', 'forward', 'YEAR', 'LONG', 'Im', 'going', 'DDOS', 'Rocket', 'Mans', 'website', 'Progress', 'Made', 'USA']",DDoS,2,0.33,0.09875,Positive
7,1.54e+18,"['accurately', 'determine', 'risk', 'DDoS', 'attack', 'need', 'know', 'latest', 'trends', 'best', 'defense', 'practices', 'Learn', 'how…']",DDoS,1,0.6111111111111112,0.6333333333333334,Positive
8,1.54e+18,"['DDoS', 'weapons', 'rise', 'new', 'research', 'shows', 'botnets', 'originate', 'China', 'India', 'Read', 'CIO', 'tha…']",DDoS,1,0.4772727272727273,0.3181818181818182,Positive
9,1.54e+18,"['DDoS', 'weapons', 'rise', 'new', 'research', 'shows', 'botnets', 'originate', 'China', 'India', 'Read', 'CIO', 'tha…']",DDoS,1,0.4772727272727273,0.3181818181818182,Positive
10,1.54e+18,"['DDoS', 'weapons', 'rise', 'new', 'research', 'shows', 'botnets', 'originate', 'China', 'India', 'Read', 'CIO', 'means', 'cybersecurity', '⬇️', 'httpstco9sMZwrWEn9']",DDoS,1,0.4772727272727273,0.3181818181818182,Positive
